범죄발생장소,,,,,,,,,,,,,,,,,,,,범죄발생장소,,,,,,,,,,,,,,,,,,
Ⅲ-1-6,,,,,,,,,,,,,,,,,,,,Ⅲ-1-6,,,,,,,,,,,,,,,,,,
구분,,계,"아파트,
연립다세대",단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,"시장,노점","숙박업소,
목욕탕",유흥접객업소,사무실,공장,"공사장,광산",창고,"역,
대합실",구분,,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계,,"1,793,400","52,509","77,671","4,254","689,785","1,987","5,926","6,995","3,335","28,977","10,504","22,209","84,848","128,343","12,948","8,036","2,794","4,075",계,,"1,783","16,404","2,002","4,717","7,801","28,095","9,856","2,895","7,804","12,280","4,624",34,576,"20,637","1,662","11,153","515,881"
풍속범죄,소계,"24,801","1,613","2,803",6,686,11,37,20,137,344,159,911,"2,196","3,048",31,1,37,357,풍속범죄,소계,238,100,161,73,44,9,16,9,15,1,0,0,2,29,218,771,"10,718"
,성풍속범죄,"14,935","1,238","1,904",6,621,11,18,19,136,117,64,800,"1,064","1,486",3,0,1,356,,성풍속범죄,238,83,8,44,42,5,15,4,5,1,0,0,1,16,218,592,"5,819"
,도박범죄,"9,866",375,899,0,65,0,19,1,1,227,95,111,"1,132","1,562",28,1,36,1,,도박범죄,0,17,153,29,2,4,1,5,10,0,0,0,1,13,0,179,"4,899"
특별경제범죄,,"78,155","2,489","4,558",12,"3,618",58,326,613,58,"2,145",997,567,"8,446","14,331",777,301,44,100,특별경제범죄,,21,902,78,62,134,"3,454",525,122,103,12,3,0,7,149,4,754,"32,385"
마약범죄,,"4,268",214,697,8,"1,177",1,0,2,1,45,23,645,167,190,7,3,3,51,마약범죄,,1,122,0,22,2,8,110,4,79,4,0,0,7,52,31,18,574
보건범죄,,"16,800",197,721,1,484,5,124,6,8,"2,662",460,244,"3,126","1,330","1,447",3,24,7,보건범죄,,1,120,0,30,12,2,951,23,62,11,0,0,11,19,0,40,"4,669"
환경범죄,,"3,083",6,25,2,209,1,1,0,0,29,1,6,33,65,628,160,8,43,환경범죄,,0,19,1,4,6,1,5,1,183,705,1,0,28,2,0,0,910
교통범죄,,"542,784",80,18,"3,052","526,938",2,3,3,1,32,40,9,8,69,7,19,0,23,교통범죄,,0,49,4,6,8,2,11,1,26,179,0,0,6,952,0,0,"11,236"
노동범죄,,"1,391",20,27,0,102,0,0,2,0,43,7,1,216,481,33,17,0,2,노동범죄,,0,17,2,0,3,2,2,0,2,14,0,0,0,0,0,18,380
안보범죄,,109,8,13,0,4,0,1,0,0,0,0,4,0,19,0,0,0,0,안보범죄,,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,53
선거범죄,,"1,262",37,31,0,292,1,1,0,1,8,18,6,89,353,0,2,0,10,선거범죄,,2,4,1,4,21,5,7,8,2,0,1,0,0,6,0,7,345
병역범죄,,"23,143","1,692","5,327",1,619,0,2,0,1,20,10,40,10,"1,917",2,1,0,9,병역범죄,,4,1,5,88,17,4,13,2,25,0,"4,476",0,9,1,0,7,"8,840"
기타,,"174,315","6,823","9,328",644,"22,014",47,588,716,48,"2,964","1,494","1,872","13,851","19,889","3,759","1,225",478,774,기타,,71,"2,531",590,400,864,255,"1,531",464,"2,596","10,878",25,7,192,"1,425",198,"1,592","64,182"
