범죄대분류,범죄중분류,계,"아파트,연립다세대",단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,"공사장,광산",창고,"역,대합실",지하철,기타표통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
지능범죄,배임,"4,358",207,113,1,88,6,8,7,1,407,30,6,99,"1,737",152,28,5,3,-,-,3,3,16,81,14,23,17,4,-,-,1,7,-,17,"1,274"
풍속범죄,성풍속범죄,"12,719",766,916,5,"1,766",28,42,70,9,173,50,477,258,709,10,-,3,869,533,212,8,130,121,9,28,13,9,-,1,-,2,42,654,131,"4,675"
풍속범죄,도박범죄,"13,446",702,"1,669",1,119,-,5,6,-,122,97,180,504,"2,563",18,1,40,1,-,2,14,26,2,6,4,3,19,1,6,-,-,7,-,664,"6,664"
특별경제범죄,특별경제범죄,"65,025","1,620","2,050",9,"3,941",51,343,"1,114",24,"1,941",906,446,"6,309","10,239",584,302,35,179,28,142,42,57,132,"1,713",635,87,95,9,2,1,2,174,3,230,"31,580"
마약범죄,마약범죄,"7,329",635,"1,446",22,"1,746",1,2,14,2,81,28,"1,059",205,263,22,5,-,100,1,169,6,11,3,40,182,4,218,21,-,-,3,113,56,20,851
보건범죄,보건범죄,"14,662",836,266,5,656,4,134,65,16,"1,190",481,205,"3,074","1,500",223,5,94,16,2,6,2,25,2,4,"1,096",10,148,495,2,-,6,25,2,40,"4,027"
환경범죄,환경범죄,"4,349",11,24,2,322,-,-,-,-,29,7,18,63,144,814,347,13,18,-,11,3,3,4,-,10,-,244,"1,508",1,-,20,9,-,-,724
교통범죄,교통범죄,"600,401",96,40,"3,516","587,582",1,5,5,-,39,80,4,9,83,7,19,2,16,1,56,4,5,3,1,12,-,60,97,-,-,6,"1,592",-,-,"7,060"
노동범죄,노동범죄,"2,457",7,27,-,57,1,-,5,-,6,8,9,166,"1,571",45,51,-,4,-,6,-,-,-,2,5,-,4,69,-,-,-,1,-,-,413
안보범죄,안보범죄,81,7,4,-,11,-,-,-,-,-,-,1,1,22,1,-,-,-,-,1,-,-,2,-,-,-,-,-,1,-,-,-,-,2,28
선거범죄,선거범죄,"1,018",26,26,-,202,2,-,-,-,8,10,3,66,294,1,-,-,8,4,2,2,6,12,4,2,9,2,-,-,-,-,1,1,-,327
병역범죄,병역범죄,"16,651","1,468","3,663",1,511,-,-,-,-,16,3,53,3,"1,454",2,-,-,11,-,-,2,40,19,1,11,1,10,-,"2,945",-,1,-,-,2,"6,434"
기타범죄,기타범죄,"260,539","13,056","12,469",640,"65,372",66,637,"1,695",59,"2,959","1,722","4,754","15,951","24,860","2,301","1,825",759,680,128,"1,452",250,641,"1,159",605,"1,869",488,"2,970","13,249",71,21,74,"1,827",115,"1,577","84,238"
